date,downloads
2024-07-27,519
2024-07-28,289
2024-07-29,901
2024-07-30,1212
2024-07-31,1346
2024-08-01,1558
2024-08-02,1519
2024-08-03,694
2024-08-04,582
2024-08-05,1295
2024-08-06,1779
2024-08-07,1436
2024-08-08,1373
2024-08-09,1299
2024-08-10,489
2024-08-11,201
2024-08-12,1074
2024-08-13,1384
2024-08-14,1555
2024-08-15,1075
2024-08-16,1337
2024-08-17,590
2024-08-18,334
2024-08-19,1077
2024-08-20,1705
2024-08-21,1584
2024-08-22,1640
2024-08-23,1298
2024-08-24,543
2024-08-25,470
2024-08-26,1186
2024-08-27,1560
2024-08-28,1609
2024-08-29,1790
2024-08-30,1450
2024-08-31,672
2024-09-01,427
2024-09-02,1529
2024-09-03,2350
2024-09-04,2008
2024-09-05,2109
2024-09-06,2220
2024-09-07,814
2024-09-08,421
2024-09-09,2394
2024-09-10,2074
2024-09-11,1657
2024-09-12,1865
2024-09-13,1452
2024-09-14,927
2024-09-15,721
2024-09-16,1422
2024-09-17,1710
2024-09-18,2009
2024-09-19,1683
2024-09-20,1536
2024-09-21,887
2024-09-22,433
2024-09-23,1644
2024-09-24,1704
2024-09-25,1857
2024-09-26,1906
2024-09-27,2071
2024-09-28,1006
2024-09-29,869
2024-09-30,1572
2024-10-01,2117
2024-10-02,1597
2024-10-03,2359
2024-10-04,1997
2024-10-05,1349
2024-10-06,583
2024-10-07,1763
2024-10-08,2073
2024-10-09,1925
2024-10-10,1924
2024-10-11,1483
2024-10-12,1231
2024-10-13,600
2024-10-14,1955
2024-10-15,2357
2024-10-16,2288
2024-10-17,2151
2024-10-18,2014
2024-10-19,1084
2024-10-20,524
2024-10-21,2215
2024-10-22,2635
2024-10-23,2179
2024-10-24,1925
2024-10-26,620
2024-10-27,380
2024-10-28,1720
2024-10-29,2351
2024-10-30,2158
2024-10-31,1553
2024-11-01,1660
2024-11-02,602
2024-11-03,244
2024-11-04,2102
2024-11-05,2378
2024-11-06,2304
2024-11-07,2563
2024-11-08,2473
2024-11-09,870
2024-11-10,453
2024-11-11,2048
2024-11-12,2722
2024-11-13,3027
2024-11-14,3400
2024-11-15,2362
2024-11-16,874
2024-11-17,898
2024-11-18,2677
2024-11-19,2662
2024-11-20,3225
2024-11-21,2953
2024-11-22,2865
2024-11-23,1155
2024-11-24,872
2024-11-25,3437
2024-11-26,2752
2024-11-27,3037
2024-11-28,1935
2024-11-29,1689
2024-11-30,742
2024-12-01,825
2024-12-02,2806
2024-12-03,3583
2024-12-04,3044
2024-12-05,4897
2024-12-06,2545
2024-12-07,1835
2024-12-08,1379
2024-12-09,2646
2024-12-10,4584
2024-12-11,6366
2024-12-12,4568
2024-12-13,3918
2024-12-14,2791
2024-12-15,1450
2024-12-16,3545
2024-12-17,3988
2024-12-18,4142
2024-12-19,4436
2024-12-20,2837
2024-12-21,2062
2024-12-22,1341
2024-12-23,2310
2024-12-24,2829
2024-12-25,2002
2024-12-26,2804
2024-12-27,2435
2024-12-28,1786
2024-12-29,1577
2024-12-30,1877
2024-12-31,2112
2025-01-01,1697
2025-01-02,2796
2025-01-03,3307
2025-01-04,2010
2025-01-05,1708
2025-01-06,2267
2025-01-07,3525
2025-01-08,3743
2025-01-09,3518
2025-01-10,3678
2025-01-11,2450
2025-01-12,1932
2025-01-13,3150
2025-01-14,3481
2025-01-15,3963
2025-01-16,3227
2025-01-17,4083
2025-01-18,2352
2025-01-19,1671
2025-01-20,2765
2025-01-21,3986
2025-01-22,4849
2025-01-23,4348
2025-01-24,4294
2025-01-25,2390
2025-01-26,1212
2025-01-27,3415
2025-01-28,4446
2025-01-29,4031
2025-01-30,4698
2025-01-31,3713
2025-02-01,2589
2025-02-02,1503
2025-02-03,3936
2025-02-04,5028
2025-02-05,4967
2025-02-06,4738
2025-02-07,3969
2025-02-08,2535
2025-02-09,2093
2025-02-10,3861
2025-02-12,5099
2025-02-13,5204
2025-02-14,4403
2025-02-15,3179
2025-02-16,1623
2025-02-17,4399
2025-02-18,5427
2025-02-19,4757
2025-02-20,5719
2025-02-21,5041
2025-02-22,2287
2025-02-23,1578
2025-02-24,4417
2025-02-25,6118
2025-02-26,5745
2025-02-27,5285
2025-02-28,5512
2025-03-01,3433
2025-03-02,1788
2025-03-03,4350
2025-03-04,4722
2025-03-05,5280
2025-03-06,5351
2025-03-07,5456
2025-03-08,2869
2025-03-09,2227
2025-03-10,5064
2025-03-11,5128
2025-03-12,5634
2025-03-13,5181
2025-03-14,5046
2025-03-15,3970
2025-03-16,2642
2025-03-17,4467
2025-03-18,5912
2025-03-19,6372
2025-03-20,5129
2025-03-21,4672
2025-03-22,3577
2025-03-23,2598
2025-03-24,5886
2025-03-25,10157
2025-03-26,13061
2025-03-27,9770
2025-03-28,10884
2025-03-29,6620
2025-03-30,5979
2025-03-31,5322
2025-04-01,9940
